shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,hotels,attractions,museums,parks,business_centers,residential_buildings,walkability_score,total_pois,lat,lon,point_id,city
94,0,48,1,4,2,9,30,1,0,1,10,18,2,179,485,50.621106570270314,3.0531845664030817,Lille_50.621107_3.053185,Lille
115,0,47,1,4,3,11,31,1,0,0,9,22,5,153,466,50.621106570270314,3.056735269169877,Lille_50.621107_3.056735,Lille
71,0,34,3,3,1,17,27,1,0,0,6,20,6,108,363,50.621106570270314,3.060285971936672,Lille_50.621107_3.060286,Lille
63,0,34,5,4,1,18,23,0,0,1,7,19,6,140,394,50.621106570270314,3.063836674703467,Lille_50.621107_3.063837,Lille
68,1,45,4,4,2,28,26,0,0,1,7,22,7,147,443,50.621106570270314,3.0673873774702622,Lille_50.621107_3.067387,Lille
41,1,38,4,4,1,21,27,1,0,1,8,19,7,116,366,50.621106570270314,3.0709380802370574,Lille_50.621107_3.070938,Lille
28,1,35,2,3,2,16,24,1,0,1,7,26,6,128,348,50.621106570270314,3.0744887830038525,Lille_50.621107_3.074489,Lille
21,1,18,0,1,2,14,32,2,0,0,5,19,9,102,309,50.621106570270314,3.0780394857706477,Lille_50.621107_3.078039,Lille
9,0,7,0,1,1,7,27,2,0,0,2,13,9,132,280,50.621106570270314,3.081590188537443,Lille_50.621107_3.081590,Lille
17,0,11,0,1,1,13,21,1,0,0,2,10,6,141,287,50.621106570270314,3.085140891304238,Lille_50.621107_3.085141,Lille
19,0,7,0,1,0,12,27,1,0,0,1,2,7,112,239,50.621106570270314,3.088691594071033,Lille_50.621107_3.088692,Lille
25,0,7,0,2,0,13,19,0,0,0,2,1,5,117,227,50.621106570270314,3.0922422968378283,Lille_50.621107_3.092242,Lille
26,0,6,0,2,0,13,34,0,0,0,4,2,5,86,221,50.621106570270314,3.0957929996046234,Lille_50.621107_3.095793,Lille
18,0,2,0,2,0,11,35,0,0,0,3,3,6,82,205,50.621106570270314,3.0993437023714185,Lille_50.621107_3.099344,Lille
12,0,1,0,1,0,11,28,0,0,0,5,4,6,108,220,50.621106570270314,3.1028944051382137,Lille_50.621107_3.102894,Lille
9,0,1,0,0,0,9,29,0,0,0,4,4,7,105,198,50.621106570270314,3.106445107905009,Lille_50.621107_3.106445,Lille
8,0,2,0,0,2,8,19,0,0,0,2,4,5,113,185,50.621106570270314,3.109995810671804,Lille_50.621107_3.109996,Lille
7,0,2,0,0,2,4,24,1,0,0,4,5,9,126,205,50.621106570270314,3.113546513438599,Lille_50.621107_3.113547,Lille
13,0,2,0,0,2,3,35,1,0,0,2,3,9,121,210,50.621106570270314,3.1170972162053943,Lille_50.621107_3.117097,Lille
14,0,2,0,0,2,9,45,1,0,0,4,3,10,180,307,50.621106570270314,3.1206479189721894,Lille_50.621107_3.120648,Lille
99,2,16,2,2,3,18,67,1,0,0,6,6,9,356,663,50.621106570270314,3.1241986217389845,Lille_50.621107_3.124199,Lille
0,0,1,0,0,0,4,26,0,1,0,4,4,3,41,115,50.62335882252257,3.0212282415019254,Lille_50.623359_3.021228,Lille
0,0,1,0,0,0,1,33,0,0,0,6,4,4,72,166,50.62335882252257,3.0247789442687205,Lille_50.623359_3.024779,Lille
9,0,2,0,2,0,4,46,0,0,0,8,4,4,111,250,50.62335882252257,3.0283296470355157,Lille_50.623359_3.028330,Lille
19,0,5,0,2,0,8,39,0,0,0,12,3,3,118,276,50.62335882252257,3.031880349802311,Lille_50.623359_3.031880,Lille
35,0,7,4,4,1,14,50,0,2,0,13,8,3,137,356,50.62335882252257,3.035431052569106,Lille_50.623359_3.035431,Lille
49,0,18,4,5,2,15,57,0,2,0,10,14,1,133,380,50.62335882252257,3.038981755335901,Lille_50.623359_3.038982,Lille
112,2,40,5,5,2,13,41,0,2,1,12,16,0,153,483,50.62335882252257,3.0425324581026962,Lille_50.623359_3.042532,Lille
187,2,71,6,7,4,9,42,1,3,2,14,21,0,202,665,50.62335882252257,3.0460831608694914,Lille_50.623359_3.046083,Lille
193,2,85,2,6,3,7,35,1,1,2,14,21,0,180,631,50.62335882252257,3.0496338636362865,Lille_50.623359_3.049634,Lille
197,2,81,3,6,2,5,29,1,5,2,13,22,1,159,597,50.62335882252257,3.0531845664030817,Lille_50.623359_3.053185,Lille
149,0,67,3,6,2,13,32,1,5,1,12,27,3,129,511,50.62335882252257,3.056735269169877,Lille_50.623359_3.056735,Lille
85,0,43,3,5,0,20,30,0,4,1,8,27,4,109,398,50.62335882252257,3.060285971936672,Lille_50.623359_3.060286,Lille
71,0,44,5,6,0,18,26,0,4,3,7,28,5,158,439,50.62335882252257,3.063836674703467,Lille_50.623359_3.063837,Lille
63,0,44,4,5,0,24,28,0,0,4,7,27,5,167,463,50.62335882252257,3.0673873774702622,Lille_50.623359_3.067387,Lille
41,0,36,4,4,0,15,27,1,0,4,9,22,5,153,395,50.62335882252257,3.0709380802370574,Lille_50.623359_3.070938,Lille
24,0,36,2,3,1,13,24,1,0,3,7,28,5,152,372,50.62335882252257,3.0744887830038525,Lille_50.623359_3.074489,Lille
16,0,15,0,1,1,12,32,3,0,2,5,21,8,112,300,50.62335882252257,3.0780394857706477,Lille_50.623359_3.078039,Lille
10,0,10,0,2,1,10,26,3,0,0,2,16,8,138,281,50.62335882252257,3.081590188537443,Lille_50.623359_3.081590,Lille
19,0,14,0,2,1,16,24,2,0,0,2,15,6,154,312,50.62335882252257,3.085140891304238,Lille_50.623359_3.085141,Lille
20,0,7,0,2,0,13,27,2,0,0,1,6,7,109,235,50.62335882252257,3.088691594071033,Lille_50.623359_3.088692,Lille
26,0,8,0,3,0,14,20,0,0,0,3,3,5,117,236,50.62335882252257,3.0922422968378283,Lille_50.623359_3.092242,Lille
22,0,7,0,2,0,12,32,0,0,0,6,4,5,90,221,50.62335882252257,3.0957929996046234,Lille_50.623359_3.095793,Lille
13,0,4,0,2,0,11,37,0,0,0,5,2,11,83,208,50.62335882252257,3.0993437023714185,Lille_50.623359_3.099344,Lille
14,0,4,1,2,1,11,35,0,0,0,9,5,10,107,240,50.62335882252257,3.1028944051382137,Lille_50.623359_3.102894,Lille
24,0,5,6,3,1,9,36,0,0,0,8,7,11,107,245,50.62335882252257,3.106445107905009,Lille_50.623359_3.106445,Lille
28,0,6,6,3,3,9,31,0,0,0,6,6,9,108,237,50.62335882252257,3.109995810671804,Lille_50.623359_3.109996,Lille
28,0,5,6,3,3,4,30,0,0,0,7,6,6,161,279,50.62335882252257,3.113546513438599,Lille_50.623359_3.113547,Lille
29,0,4,5,2,2,5,34,0,0,0,3,2,7,156,269,50.62335882252257,3.1170972162053943,Lille_50.623359_3.117097,Lille
14,0,5,0,0,2,11,36,0,0,0,5,1,8,221,347,50.62335882252257,3.1206479189721894,Lille_50.623359_3.120648,Lille
2,0,3,0,0,0,7,15,0,0,0,4,3,4,32,89,50.625611074774824,3.014126835968335,Lille_50.625611_3.014127,Lille
3,0,5,0,0,0,9,29,0,0,0,2,4,4,45,123,50.625611074774824,3.0176775387351302,Lille_50.625611_3.017678,Lille
6,0,5,0,0,0,7,35,0,0,0,3,4,3,49,141,50.625611074774824,3.0212282415019254,Lille_50.625611_3.021228,Lille
5,0,5,0,0,0,5,38,0,0,0,5,3,5,70,175,50.625611074774824,3.0247789442687205,Lille_50.625611_3.024779,Lille
13,0,3,0,2,0,7,50,0,0,0,6,4,4,95,233,50.625611074774824,3.0283296470355157,Lille_50.625611_3.028330,Lille
21,0,6,0,2,1,7,39,0,0,0,9,4,2,85,227,50.625611074774824,3.031880349802311,Lille_50.625611_3.031880,Lille
29,0,8,7,3,2,11,41,0,2,0,9,10,2,102,296,50.625611074774824,3.035431052569106,Lille_50.625611_3.035431,Lille
53,0,24,8,5,3,13,48,0,3,0,6,14,1,99,339,50.625611074774824,3.038981755335901,Lille_50.625611_3.038982,Lille
120,2,46,9,5,3,12,38,0,3,1,8,17,0,94,434,50.625611074774824,3.0425324581026962,Lille_50.625611_3.042532,Lille
205,2,67,12,6,4,8,41,2,4,2,9,23,1,142,612,50.625611074774824,3.0460831608694914,Lille_50.625611_3.046083,Lille
253,2,91,7,7,3,8,36,2,2,2,11,25,1,142,663,50.625611074774824,3.0496338636362865,Lille_50.625611_3.049634,Lille
264,2,98,6,7,2,4,30,2,5,2,10,31,2,168,694,50.625611074774824,3.0531845664030817,Lille_50.625611_3.053185,Lille
217,0,95,7,7,2,12,33,3,5,2,9,38,4,160,648,50.625611074774824,3.056735269169877,Lille_50.625611_3.056735,Lille
139,0,75,5,6,0,19,26,1,4,2,6,45,5,159,544,50.625611074774824,3.060285971936672,Lille_50.625611_3.060286,Lille
90,0,61,6,5,0,19,21,1,6,4,8,46,6,217,550,50.625611074774824,3.063836674703467,Lille_50.625611_3.063837,Lille
63,0,45,5,3,0,22,24,1,2,7,9,42,6,193,496,50.625611074774824,3.0673873774702622,Lille_50.625611_3.067387,Lille
40,0,30,4,3,1,16,28,1,2,6,10,33,7,197,448,50.625611074774824,3.0709380802370574,Lille_50.625611_3.070938,Lille
27,0,33,2,3,1,13,26,2,2,5,7,38,7,187,417,50.625611074774824,3.0744887830038525,Lille_50.625611_3.074489,Lille
18,0,19,0,2,1,10,32,3,0,4,4,28,10,118,296,50.625611074774824,3.0780394857706477,Lille_50.625611_3.078039,Lille
14,0,13,0,3,1,12,32,3,0,0,2,24,11,112,263,50.625611074774824,3.081590188537443,Lille_50.625611_3.081590,Lille
21,0,14,0,2,0,16,27,2,0,0,2,22,10,115,266,50.625611074774824,3.085140891304238,Lille_50.625611_3.085141,Lille
22,0,6,0,2,0,13,28,1,0,0,2,7,9,70,188,50.625611074774824,3.088691594071033,Lille_50.625611_3.088692,Lille
29,0,7,0,3,0,13,27,0,0,0,3,4,6,72,200,50.625611074774824,3.0922422968378283,Lille_50.625611_3.092242,Lille
27,0,9,0,3,0,9,38,0,0,0,5,7,5,57,200,50.625611074774824,3.0957929996046234,Lille_50.625611_3.095793,Lille
22,0,8,0,3,0,8,42,0,0,0,5,11,12,47,197,50.625611074774824,3.0993437023714185,Lille_50.625611_3.099344,Lille
24,0,9,1,3,1,9,39,0,0,0,8,11,11,87,243,50.625611074774824,3.1028944051382137,Lille_50.625611_3.102894,Lille
34,0,11,6,4,1,8,38,0,0,0,10,14,12,112,280,50.625611074774824,3.106445107905009,Lille_50.625611_3.106445,Lille
36,0,10,6,3,3,9,32,0,0,0,9,11,10,124,279,50.625611074774824,3.109995810671804,Lille_50.625611_3.109996,Lille
32,0,7,6,3,3,5,31,0,0,0,10,5,4,195,333,50.625611074774824,3.113546513438599,Lille_50.625611_3.113547,Lille
31,0,5,5,2,2,6,41,0,0,0,7,3,5,193,334,50.625611074774824,3.1170972162053943,Lille_50.625611_3.117097,Lille
14,0,7,0,0,2,12,37,0,0,0,7,2,6,231,374,50.625611074774824,3.1206479189721894,Lille_50.625611_3.120648,Lille
1,0,0,0,0,0,7,26,0,0,0,1,0,1,95,147,50.62786332702708,2.9999240249011545,Lille_50.627863_2.999924,Lille
5,0,2,0,1,0,10,33,0,0,0,3,0,1,110,193,50.62786332702708,3.0034747276679497,Lille_50.627863_3.003475,Lille
5,0,2,0,1,0,11,35,0,0,0,4,0,2,65,152,50.62786332702708,3.007025430434745,Lille_50.627863_3.007025,Lille
