point_id,city,lat,lon,shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,walkability_score,hotels,attractions,museums,parks,business_centers,residential_buildings,total_pois,attractiveness_score,competition_score,accessibility_score,suitability_score
Lille_50.618854_3.056735,Lille,50.61885431801806,3.056735269169877,86,0,34,0,2,2,14,26,167,1,1,0,13,11,4,428,26.1,3.17,35.65,50.37
Lille_50.618854_3.060286,Lille,50.61885431801806,3.060285971936672,65,0,26,0,2,1,15,24,133,1,1,0,11,12,5,359,22.63,2.4,26.89,48.28
Lille_50.618854_3.063837,Lille,50.61885431801806,3.063836674703467,53,0,24,0,3,1,14,18,184,0,2,1,9,8,5,388,19.65,1.96,27.05,47.79
Lille_50.618854_3.067387,Lille,50.61885431801806,3.0673873774702622,58,1,36,0,3,2,24,21,206,0,2,1,9,13,6,456,21.23,3.81,43.4,51.26
Lille_50.618854_3.070938,Lille,50.61885431801806,3.0709380802370574,37,1,30,0,3,1,19,24,169,1,2,1,10,14,6,392,22.63,3.03,30.99,48.42
Lille_50.618854_3.074489,Lille,50.61885431801806,3.0744887830038525,22,1,25,0,2,2,17,26,175,1,2,1,7,13,5,370,16.61,2.48,38.07,49.34
Lille_50.618854_3.078039,Lille,50.61885431801806,3.078039485770648,18,1,16,0,1,2,14,34,128,2,1,0,6,11,7,331,13.23,2.33,35.5,48.53
Lille_50.618854_3.081590,Lille,50.61885431801806,3.081590188537443,6,0,5,0,1,1,7,33,139,2,0,0,2,6,6,287,5.4,1.0,22.73,45.4
Lille_50.618854_3.085141,Lille,50.61885431801806,3.085140891304238,11,0,9,0,1,1,10,24,141,1,0,0,1,2,4,270,3.38,1.0,23.6,45.35
Lille_50.618854_3.088692,Lille,50.61885431801806,3.088691594071033,13,0,6,0,1,0,10,24,107,1,0,0,0,2,5,219,1.63,1.0,14.42,43.56
Lille_50.618854_3.092242,Lille,50.61885431801806,3.0922422968378283,15,0,5,0,1,0,11,16,114,0,0,0,1,1,4,200,2.9,1.0,14.19,43.39
Lille_50.618854_3.095793,Lille,50.61885431801806,3.0957929996046234,17,0,4,0,1,0,10,23,83,0,0,0,2,2,3,179,4.56,1.0,13.44,43.26
Lille_50.618854_3.099344,Lille,50.61885431801806,3.0993437023714185,13,0,1,0,1,0,8,30,77,0,0,0,2,3,4,172,4.54,1.0,12.85,43.11
Lille_50.618854_3.102894,Lille,50.61885431801806,3.1028944051382137,10,0,1,0,0,0,8,27,98,0,0,0,3,4,5,191,5.4,1.0,13.13,43.24
Lille_50.618854_3.106445,Lille,50.61885431801806,3.106445107905009,9,0,1,0,0,0,8,27,94,0,0,0,2,4,5,174,3.84,1.0,12.99,43.18
Lille_50.618854_3.109996,Lille,50.61885431801806,3.109995810671804,10,0,4,0,1,1,8,20,115,0,0,0,1,4,5,191,3.33,1.0,20.67,44.83
Lille_50.618854_3.117097,Lille,50.61885431801806,3.1170972162053943,17,0,6,0,1,1,5,24,128,1,0,0,2,3,6,215,4.92,1.0,19.58,44.86
Lille_50.618854_3.120648,Lille,50.61885431801806,3.1206479189721894,28,0,20,0,1,1,6,40,181,1,0,0,4,3,7,322,8.93,1.03,24.51,46.61
Lille_50.621107_3.024779,Lille,50.62110657027032,3.0247789442687205,9,0,4,0,0,0,5,31,77,0,0,0,7,7,4,196,12.33,1.0,10.86,43.0
Lille_50.621107_3.028330,Lille,50.62110657027032,3.028329647035516,16,0,6,0,1,0,10,33,98,0,0,0,6,7,4,240,11.75,1.0,15.46,44.17
Lille_50.621107_3.031880,Lille,50.62110657027032,3.031880349802311,25,0,7,0,1,0,12,30,110,0,0,0,10,4,3,268,17.58,1.0,16.85,44.41
Lille_50.621107_3.035431,Lille,50.62110657027032,3.035431052569106,28,0,6,1,3,0,13,35,130,0,2,0,11,7,3,310,22.28,1.03,19.0,45.12
