point_id,city,lat,lon,shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,walkability_score,hotels,attractions,museums,parks,business_centers,residential_buildings,total_pois,attractiveness_score,competition_score,accessibility_score,suitability_score,global_score
Strasbourg_48.514458_7.783439,Strasbourg,48.51445822252257,7.7834392946385424,0,0,0,0,0,0,2,3,8,0,0,0,0,0,0,16,0.0,1.0,1.72,39.94,10.665
Strasbourg_48.514458_7.786843,Strasbourg,48.51445822252257,7.786842944447062,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,5,0.0,1.0,0.21,39.64,10.2125
Strasbourg_48.514458_7.790247,Strasbourg,48.51445822252257,7.790246594255581,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.0,1.0,0.08,39.62,10.174999999999999
Strasbourg_48.514458_7.793650,Strasbourg,48.51445822252257,7.793650244064101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.514458_7.797054,Strasbourg,48.51445822252257,7.79705389387262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.514458_7.800458,Strasbourg,48.51445822252257,7.80045754368114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.514458_7.803861,Strasbourg,48.51445822252257,7.803861193489659,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0.0,1.0,0.08,39.62,10.174999999999999
Strasbourg_48.516710_7.766421,Strasbourg,48.516710474774825,7.766421045595945,0,0,1,0,0,0,0,7,26,0,0,0,0,0,1,40,0.09,1.0,1.66,40.06,10.7025
Strasbourg_48.516710_7.769825,Strasbourg,48.516710474774825,7.769824695404464,0,0,1,0,0,0,1,5,22,0,0,0,0,0,1,35,0.09,1.0,1.91,40.11,10.7775
Strasbourg_48.516710_7.773228,Strasbourg,48.516710474774825,7.773228345212984,0,0,0,0,0,0,3,5,11,0,0,0,0,0,1,27,0.0,1.0,2.58,40.22,10.95
Strasbourg_48.516710_7.776632,Strasbourg,48.516710474774825,7.776631995021503,0,0,0,0,0,0,4,3,12,0,0,0,0,2,0,28,0.42,1.0,3.04,40.41,11.2175
Strasbourg_48.516710_7.780036,Strasbourg,48.516710474774825,7.780035644830023,0,0,0,0,0,0,4,5,12,0,0,0,0,2,0,30,0.42,1.0,3.19,40.44,11.2625
Strasbourg_48.516710_7.783439,Strasbourg,48.516710474774825,7.7834392946385424,0,0,0,0,0,0,3,4,10,0,0,0,0,2,0,23,0.42,1.0,2.46,40.29,11.0425
Strasbourg_48.516710_7.786843,Strasbourg,48.516710474774825,7.786842944447062,0,0,0,0,0,0,1,2,5,0,0,0,0,2,0,12,0.42,1.0,0.94,39.99,10.5875
Strasbourg_48.516710_7.790247,Strasbourg,48.516710474774825,7.790246594255581,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,1.0,0.16,39.63,10.1975
Strasbourg_48.516710_7.793650,Strasbourg,48.516710474774825,7.793650244064101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.516710_7.797054,Strasbourg,48.516710474774825,7.79705389387262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.516710_7.800458,Strasbourg,48.516710474774825,7.80045754368114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.516710_7.803861,Strasbourg,48.516710474774825,7.803861193489659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,39.6,10.15
Strasbourg_48.518963_7.763017,Strasbourg,48.51896272702708,7.763017395787426,0,0,0,0,0,0,0,6,29,0,0,0,0,0,1,39,0.0,1.0,1.71,40.04,10.6875
Strasbourg_48.518963_7.766421,Strasbourg,48.51896272702708,7.766421045595945,0,0,0,0,0,0,0,6,30,0,0,0,0,0,0,39,0.0,1.0,1.75,39.95,10.675
Strasbourg_48.518963_7.769825,Strasbourg,48.51896272702708,7.769824695404464,0,0,0,0,0,0,1,4,25,0,0,0,0,0,0,32,0.0,1.0,1.95,39.99,10.735000000000001
Strasbourg_48.518963_7.773228,Strasbourg,48.51896272702708,7.773228345212984,0,0,0,0,0,0,3,3,13,0,0,0,0,0,0,23,0.0,1.0,2.51,40.1,10.9025
Strasbourg_48.518963_7.776632,Strasbourg,48.51896272702708,7.776631995021503,0,0,0,0,0,0,5,3,13,0,0,0,0,2,0,29,0.42,1.0,3.65,40.53,11.4
Strasbourg_48.518963_7.780036,Strasbourg,48.51896272702708,7.780035644830023,0,0,0,0,0,0,5,6,13,0,0,0,0,2,0,32,0.42,1.0,3.89,40.58,11.4725
Strasbourg_48.518963_7.783439,Strasbourg,48.51896272702708,7.7834392946385424,0,0,0,0,0,0,4,5,11,0,0,0,0,2,0,27,0.42,1.0,3.15,40.43,11.25
Strasbourg_48.518963_7.786843,Strasbourg,48.51896272702708,7.786842944447062,0,0,0,0,0,0,2,3,6,0,0,0,0,2,0,15,0.42,1.0,1.64,40.13,10.797500000000001
Strasbourg_48.518963_7.790247,Strasbourg,48.51896272702708,7.790246594255581,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0.0,1.0,0.24,39.65,10.2225
Strasbourg_48.518963_7.793650,Strasbourg,48.51896272702708,7.793650244064101,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,6,0.0,1.0,0.21,39.64,10.2125
Strasbourg_48.518963_7.797054,Strasbourg,48.51896272702708,7.79705389387262,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,6,0.0,1.0,0.21,39.64,10.2125
Strasbourg_48.518963_7.800458,Strasbourg,48.51896272702708,7.80045754368114,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,6,0.0,1.0,0.21,39.64,10.2125
Strasbourg_48.518963_7.803861,Strasbourg,48.51896272702708,7.803861193489659,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,6,0.0,1.0,0.21,39.64,10.2125
Strasbourg_48.521215_7.763017,Strasbourg,48.521214979279335,7.763017395787426,1,0,0,0,0,0,0,6,30,0,0,0,0,0,2,42,0.0,1.0,1.75,40.18,10.7325
Strasbourg_48.521215_7.766421,Strasbourg,48.521214979279335,7.766421045595945,1,0,0,0,0,0,0,6,31,0,0,0,0,0,1,42,0.0,1.0,1.8,40.09,10.7225
Strasbourg_48.521215_7.769825,Strasbourg,48.521214979279335,7.769824695404464,0,0,0,0,0,0,0,2,25,0,0,0,0,0,1,29,0.0,1.0,1.22,39.94,10.54
Strasbourg_48.521215_7.773228,Strasbourg,48.521214979279335,7.773228345212984,0,0,0,0,0,0,2,1,12,0,0,0,0,0,1,19,0.0,1.0,1.73,40.05,10.694999999999999
Strasbourg_48.521215_7.776632,Strasbourg,48.521214979279335,7.776631995021503,0,0,1,0,0,0,6,2,13,0,0,0,0,2,1,32,0.51,1.0,4.14,40.76,11.6025
Strasbourg_48.521215_7.780036,Strasbourg,48.521214979279335,7.780035644830023,1,0,1,0,0,0,7,7,17,0,0,0,0,2,0,43,0.51,1.0,5.28,40.92,11.9275
Strasbourg_48.521215_7.783439,Strasbourg,48.521214979279335,7.7834392946385424,1,0,1,0,0,0,7,7,16,0,0,0,0,2,0,42,0.51,1.0,5.24,40.91,11.915
Strasbourg_48.521215_7.786843,Strasbourg,48.521214979279335,7.786842944447062,1,0,1,0,0,0,5,7,12,0,0,0,0,2,0,34,0.51,1.0,3.92,40.64,11.5175
Strasbourg_48.521215_7.790247,Strasbourg,48.521214979279335,7.790246594255581,1,0,0,0,0,0,0,7,10,0,0,0,0,0,0,20,0.0,1.0,0.98,39.83,10.452499999999999
Strasbourg_48.521215_7.793650,Strasbourg,48.521214979279335,7.793650244064101,0,0,0,0,0,0,0,3,18,0,1,0,0,0,0,27,0.09,1.0,1.01,39.8,10.475
Strasbourg_48.521215_7.797054,Strasbourg,48.521214979279335,7.79705389387262,0,0,0,0,0,0,0,4,16,0,1,0,0,0,0,26,0.09,1.0,1.0,39.8,10.4725
Strasbourg_48.521215_7.800458,Strasbourg,48.521214979279335,7.80045754368114,0,0,0,0,0,0,0,4,16,0,1,0,0,0,0,25,0.09,1.0,1.0,39.8,10.4725
Strasbourg_48.521215_7.803861,Strasbourg,48.521214979279335,7.803861193489659,0,0,0,0,0,0,0,3,12,0,1,0,0,0,0,22,0.09,1.0,0.75,39.75,10.3975
